Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
JSE:RBX,"Raubex Group Limited (JSE:RBX)",https://www.listcorp.com/jse/rbx/raubex-group-limited,"	6477570000",35.64,0.00,0,Industrials
JSE:HCI,"Hosken Consolidated Investments Limited (JSE:HCI)",https://www.listcorp.com/jse/hci/hosken-consolidated-investments-limited,"	6421550000",75,0.00,0,Financials
JSE:MUR,"Murray & Roberts Holdings Limited (JSE:MUR)",https://www.listcorp.com/jse/mur/murray-and-roberts-holdings-limited,"	6003940000",13.5,0.00,0,Industrials
JSE:SAC,"SA Corporate Real Estate Fund Limited (JSE:SAC)",https://www.listcorp.com/jse/sac/sa-corporate-real-estate-fund-limited,"	5959920000",2.37,0.00,0,Financials
JSE:BAT,"Brait SE (JSE:BAT)",https://www.listcorp.com/jse/bat/brait-se,"	5939970000",4.5,0.00,0,Financials
JSE:ATT,"Attacq Limited (JSE:ATT)",https://www.listcorp.com/jse/att/attacq-limited,"	5907190000",7.86,0.00,0,Financials
JSE:MTA,"Metair Investments Limited (JSE:MTA)",https://www.listcorp.com/jse/mta/metair-investments-limited,"	5822330000",29.26,0.00,0,"Consumer Goods"
JSE:AFH,"Alexander Forbes Group Holdings Limited (JSE:AFH)",https://www.listcorp.com/jse/afh/alexander-forbes,"	5754860000",4.25,0.00,0,Financials
JSE:RAV,"Raven Property Group Limited (JSE:RAV)",https://www.listcorp.com/jse/rav/raven-property-group-limited,"	5381690000",9.5,0.00,0,Financials
JSE:EMI,"Emira Property Fund Limited (JSE:EMI)",https://www.listcorp.com/jse/emi/emira-property-fund-limited,"	5231900000",10.01,0.00,0,Financials
JSE:MPT,"Mpact Limited (JSE:MPT)",https://www.listcorp.com/jse/mpt/mpact-limited,"	5186140000",35,0.00,0,Industrials
JSE:ZED,"Zeder Investments Limited (JSE:ZED)",https://www.listcorp.com/jse/zed/zeder-investments-limited,"	5139060000",3.33,0.00,0,Financials
JSE:GSH,"Grindrod Shipping Holdings (JSE:GSH)",https://www.listcorp.com/jse/gsh/grindrod-shipping-holdings,"	5020610000",260,0.00,0,Industrials
JSE:TGO,"Tsogo Sun Hotels (JSE:TGO)",https://www.listcorp.com/jse/tgo/tsogo-sun-hotels,"	4891870000",3.31,0.00,0,"Consumer Services"
JSE:MED,"Middle East Diamond Resources Limited (JSE:MED)",https://www.listcorp.com/jse/med/middle-east-diamond-resources-limited,"	4786390000",0,0.00,0,"Basic Materials"
JSE:SHG,"Sea Harvest Group Limited (JSE:SHG)",https://www.listcorp.com/jse/shg/sea-harvest-group-limited,"	4602540000",15.4,0.00,0,"Consumer Goods"
JSE:BLU,"Blue Label Telecoms (JSE:BLU)",https://www.listcorp.com/jse/blu/blue-label-telecoms,"	4504320000",4.93,0.00,0,Telecommunications
JSE:L2D,"Liberty Two Degrees Limited (JSE:L2D)",https://www.listcorp.com/jse/l2d/liberty-two-degrees,"	4451370000",4.9,0.00,0,Financials
JSE:REN,"Renergen Limited (JSE:REN)",https://www.listcorp.com/jse/ren/renergen-limited,"	4396110000",35.5,0.00,0,"Oil & Gas"
JSE:MIX,"Mix Telematics Limited (JSE:MIX)",https://www.listcorp.com/jse/mix/mix-telematics-limited,"	4378400000",7.2,0.00,0,Industrials
JSE:HDC,"Hudaco Industries Limited (JSE:HDC)",https://www.listcorp.com/jse/hdc/hudaco-industries-limited,"	4308860000",132.5,0.00,0,Industrials
JSE:LBR,"Libstar Holdings Limited (JSE:LBR)",https://www.listcorp.com/jse/lbr/libstar-holdings-limited,"	4241550000",6.22,0.00,0,"Consumer Goods"
JSE:GML,"Gemfields Group Limited (JSE:GML)",https://www.listcorp.com/jse/gml/gemfields-group-limited,"	4158320000",3.55,0.00,0,"Basic Materials"
JSE:L4L,"Long4Life Limited (JSE:L4L)",https://www.listcorp.com/jse/l4l/long4life-limited,"	4103740000",5.78,0.00,0,Financials
JSE:KAL,"Kaap Agri Limited (JSE:KAL)",https://www.listcorp.com/jse/kal/kaap-agri-limited,"	4067500000",54.84,0.00,0,"Consumer Services"
JSE:NT1,"Net 1 UEPS Technologies Inc (JSE:NT1)",https://www.listcorp.com/jse/nt1/net1,"	4058910000",72,0.00,0,Industrials
JSE:FFB,"Fortress REIT Limited - B (JSE:FFB)",https://www.listcorp.com/jse/ffb/fortress-reit-limited-b,"	3935570000",3.6,0.00,0,Financials
JSE:MTNZF,"MTN Zakhele Futhi (JSE:MTNZF)",https://www.listcorp.com/jse/mtnzf/mtn-zakhele-futhi,"	3714850000",30.1,0.00,0,Financials
JSE:PPE,"Purple Group Limited (JSE:PPE)",https://www.listcorp.com/jse/ppe/purple-group-limited,"	3638900000",3.04,0.00,0,Financials
JSE:CLI,"Clientele Limited (JSE:CLI)",https://www.listcorp.com/jse/cli/clientele-limited,"	3520880000",10.5,0.00,0,Financials
JSE:AHB,"Arrowhead Properties Limited B (JSE:AHB)",https://www.listcorp.com/jse/ahb/arrowhead-properties-limited-b,"	3453660000",3.69,0.00,0,Financials
JSE:RFG,"RFG Holdings Limited (JSE:RFG)",https://www.listcorp.com/jse/rfg/rfg-holdings-limited,"	3442180000",13.1,0.00,0,"Consumer Goods"
JSE:AEG,"Aveng Group Limited (JSE:AEG)",https://www.listcorp.com/jse/aeg/aveng-group-limited,"	3321180000",26.5,0.00,0,Industrials
JSE:MRF,"Merafe Resources Limited (JSE:MRF)",https://www.listcorp.com/jse/mrf/merafe-resources-limited,"	3273860000",1.31,0.00,0,"Basic Materials"
JSE:GND,"Grindrod Limited (JSE:GND)",https://www.listcorp.com/jse/gnd/grindrod-limited,"	3266790000",4.68,0.00,0,Industrials
JSE:AEL,"Allied Electronics Corporation (JSE:AEL)",https://www.listcorp.com/jse/ael/allied-electronics-corporation,"	3214260000",7.92,0.00,0,Technology
JSE:CAT,"Caxton & CTP Publishers & Printers Limited (JSE:CAT)",https://www.listcorp.com/jse/cat/caxton-and-ctp-publishers-and-printers-limited,"	3210820000",8.79,0.00,0,"Consumer Services"
JSE:EXP,"Exemplar Reitail Limited (JSE:EXP)",https://www.listcorp.com/jse/exp/exemplar-reitail-limited,"	3189990000",9.6,0.00,0,Financials
JSE:CLH,"City Lodge Hotels Limited (JSE:CLH)",https://www.listcorp.com/jse/clh/city-lodge-hotels-limited,"	3177370000",5.21,0.00,0,"Consumer Services"
JSE:IVT,"Invicta Holdings Limited (JSE:IVT)",https://www.listcorp.com/jse/ivt/invicta-holdings,"	3139720000",29.2,0.00,0,Industrials
JSE:SCD,"Schroder European Real Estate Investment Trust (JSE:SCD)",https://www.listcorp.com/jse/scd/schroeder-european-reit,"	3132070000",23.42,0.00,0,Financials
JSE:LEW,"Lewis Group Limited (JSE:LEW)",https://www.listcorp.com/jse/lew/lewis-group-limited,"	3100130000",47,0.00,0,"Consumer Services"
JSE:ACT,"Afrocentric Investment Corp (JSE:ACT)",https://www.listcorp.com/jse/act/afrocentric-investment-corp,"	2999700000",5.2,0.00,0,"Health Care"
JSE:SDO,"STADIO Holdings Limited (JSE:SDO)",https://www.listcorp.com/jse/sdo/stadio-holdings-limited,"	2968670000",3.5,0.00,0,"Consumer Services"
JSE:HET,"Heriot REIT Limited (JSE:HET)",https://www.listcorp.com/jse/het/heriot-reit-limited,"	2947400000",11.5,0.00,0,Financials
JSE:HIL,"Homechoice International plc (JSE:HIL)",https://www.listcorp.com/jse/hil/homechoice-international-plc,"	2903070000",27.2,0.00,0,"Consumer Services"
JSE:TDH,"Tradehold Limited (JSE:TDH)",https://www.listcorp.com/jse/tdh/tradehold-limited,"	2741530000",10.49,0.00,0,Financials
JSE:WEZ,"Wesizwe Platinum Limited (JSE:WEZ)",https://www.listcorp.com/jse/wez/wesizwe-platinum-limited,"	2653360000",1.63,0.00,0,"Basic Materials"
JSE:OAO,"Oando PLC (JSE:OAO)",https://www.listcorp.com/jse/oao/oando-plc,"	2610600000",0.21,0.00,0,"Oil & Gas"
JSE:NPK,"Nampak Limited (JSE:NPK)",https://www.listcorp.com/jse/npk/nampak-limited,"	2554760000",3.7,0.00,0,Industrials
JSE:CTA,"Capital Appreciation Limited (JSE:CTA)",https://www.listcorp.com/jse/cta/capital-appreciation-limited,"	2554500000",1.95,0.00,0,Technology
JSE:SYG,"Sygnia Limited (JSE:SYG)",https://www.listcorp.com/jse/syg/sygnia-limited,"	2523370000",16.84,0.00,0,Financials
JSE:YYLBEE,"YeboYethu (RF) Limited (JSE:YYLBEE)",https://www.listcorp.com/jse/yylbee/yeboyethu-rf-limited,"	2434130000",46,0.00,0,Financials
JSE:DIA,"Dipula Income Fund Limited A (JSE:DIA)",https://www.listcorp.com/jse/dia/dipula-income-fund-limited-a,"	2413750000",9.12,0.00,0,Financials
JSE:SBP,"Sabvest Capital Limited (JSE:SBP)",https://www.listcorp.com/jse/sbp/sabvest-capital-limited,"	2412550000",61,0.00,0,Financials
JSE:OCT,"Octodec Investments Limited (JSE:OCT)",https://www.listcorp.com/jse/oct/octodec-investments-limited,"	2302610000",8.65,0.00,0,Financials
